identifier,Url Number,Year,Short Title,Long Title,Case Number,Applicable IIA,Respondent State(s),Home State(s) of investor,Status/Outcome of original proceedings,Award 1,reinvst,reinvst_stay,reinvst_return,reinvst_2015,reinvst_amt,reinvst_notes,reinvst_mostrecent,isds_investment_description,isds_investment_after,all_investment_after,exodus,source1,source2,source3,source4,source5,source6,source7,source8,source9,sourcenotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct135,101,2003,Unisys v. Argentina,Unisys Corporation v. Argentine Republic,(ICSID Case No. ARB/03/27),Argentina - United States of America BIT (1991),Argentina,United States of America,Pending,Data not available,.,.,.,.,,,,,,,,"For compliance data, see Peterson, Luke Eric. “After Settling Some Awards Argentina Takes More Fractious Path in Bond Holders Case with New Bid to Disqualify Arbitrators” Investment Arbitration Reporter, 30 December 2013. Accessed online.",.,.,.,.,.,.,.,.,"noncompliance: ""Despite a high-profile settlement with creditors in relation to 5 unpaid arbitral awards, the Argentine Republic is taking a more fractious path in an ongoing arbitration with thousands of Italian investors in Argentine sovereign bonds"" (Source1). AV coded yes, LM coded no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct136,102,2003,Metalpar v. Argentina,Metalpar S.A. and Buen Aire S.A. v. Argentine Republic,(ICSID Case No. ARB/03/5),Argentina - Chile BIT (1991),Argentina,Chile,Decided in favour of State,Decision on Jurisdiction dated 27 April 2006,yes,yes,.,yes,.,No investment stats available,2018,,,Still holds assets,0,"For reinvestment data, see Metalpar Argentina S.A. “Empresa.” Accessed online at http://www.metalpar.com.ar/company.php.","For reinvestment data, see MarcoPolo S.A. Annual Report 2014. Retrieved from Morningstar website. Accessed online.","For reinvestment data, see http://doc.morningstar.com/companydoc.aspx?doccategory=equity&mode=normalview&companyid=0C000017LY&display=XBSP:POMO3&clientid=dotcom&key=9bc0dc0ff19106fc###",.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct137,103,2003,Industria Nacional de Alimentos v. Peru,"Industria Nacional de Alimentos, S.A. and Indalsa Perú, S.A. (formerly Empresas Lucchetti, S.A. and Lucchetti Perú, S.A.) v. Republic of Peru",(ICSID Case No. ARB/03/4),Chile - Peru BIT (2000),Peru,Chile,Decided in favour of State,Award dated 7 February 2005,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct138,104,2003,Bechtel v. India,"Bechtel Enterprises Holdings, Inc. and GE Structured Finance (GESF) v. The Government of India",N/A,India - Mauritius BIT (1998),India,Mauritius,Settled,Data not available,yes,.,.,yes,.,"Though Bechtel provides various figures on contract size, no figures are provided for Bechtel's investment in various projects",2014,,,Still holds assets,0,"For reinvestment data, see ""Annual Report 2014."" Bechtel website. All annual reports can be accessed online at http://www.bechtel.com/about-us/annual-report/.",.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct139,105,2003,Electricidad Argentina and EDF International v. Argentina,Electricidad Argentina S.A. and EDF International S.A. v. Argentine Republic,(ICSID Case No. ARB/03/22),Argentina - France BIT (1991),Argentina,France,Discontinued,Order Taking Note of the Discontinuance of the Proceeding Pursuant to ICSID Arbitration Rule 44 dated 28 March 2017,yes,.,.,yes,.,Edenor does not disaggregate investment figures by subsidiary.,2018,,,Still holds assets,1,"For reinvestment data, see Bloomberg Business. “Company Overview of Electricidad Argentina S.A.” Bloomberg Business website, 2015. Accessed online.","For reinvestment data, see Edenor S.A. Annual Report 2014. Retrieved from Morningstar website. Accessed online.",For reinvestment data see http://www.edenor.com.ar/cms/files/EN/IR/financialReports/annualReports/2017AnnReport.pdf,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct140,106,2003,L.E.S.I. v. Algeria,Consortium Groupement L.E.S.I. - DIPENTA v. People's Democratic Republic of Algeria,(ICSID Case No. ARB/03/8),Algeria - Italy BIT (1991),Algeria,Italy,Decided in favour of State,Award dated 10 January 2005,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct141,107,2003,National Grid v. Argentina,National Grid PLC v. The Argentine Republic,N/A,Argentina - United Kingdom BIT (1990),Argentina,United Kingdom,Decided in favour of investor,Decision on Jurisdiction dated June 2006,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct142,108,2003,BG v. Argentina,BG Group Plc v. The Republic of Argentina,N/A,Argentina - United Kingdom BIT (1990),Argentina,United Kingdom,Decided in favour of investor,Final Award dated 24 December 2007,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct143,109,2003,Camuzzi v. Argentina (II),Camuzzi International S.A. v. Argentine Republic (II),(ICSID Case No. ARB/03/7),Argentina - BLEU (Belgium-Luxembourg Economic Union) BIT (1990),Argentina,Luxembourg,Settled,Decision on Jurisdiction dated 10 June 2005,yes,yes,.,yes,129541877,Total Argentine assets as of 12/31/2017,2018,,,Still holds assets,1,"For reinvestment data, see “Camuzzi Gas Pampeana S.A, August 2015.” Zoom Company Information via LexisNexis Academic. Accessed Online.","For reinvestment data see https://doc.morningstar.com/Document/8c43bcf6cc8d40f03b5ed95ea2cf70ab.msdoc/original?clientid=globaldocuments&key=52dbc583e1012395#page=2&zoom=auto,-4,475",.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct144,110,2003,Chilectra and others v. Argentina,"Chilectra S.A., Elesur S.A., Empresa Nacional de Electrecidad S.A., and Enersis S.A. v. Argentine Republic",(ICSID Case No. ARB/03/21),Argentina - Chile BIT (1991),Argentina,Chile,Discontinued,Order Taking Note of the Discontinuance of the Proceeding Pursuant to ICSID Arbitration Rule 44 dated 28 March 2017,yes,.,.,yes,1117000000,"Capital expenditure in Argentina, 2014-2017",2018,,,Still holds assets,1,"For reinvestment data, see Enersis. Annual Report 2014. Enersis website. Accessed online at http://www.enersis.cl/en/accionistas/Pages/accionistas-inversionistas.aspx","For reinvestment data, see https://www.enel.com/content/dam/enel-com/governance_pdf/reports/annual-financial-report/2017/annual-report-2017.pdf","For reinvestment data, see https://www.enel.com/content/dam/enel-com/governance_pdf/reports/annual-financial-report/2015/Annual_Report_2015.pdf",.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct145,111,2003,MCI v. Ecuador,"M.C.I. Power Group, L.C. and New Turbine, Inc. v. Republic of Ecuador",(ICSID Case No. ARB/03/6),Ecuador - United States of America BIT (1993),Ecuador,United States of America,Decided in favour of State,Award dated 31 July 2007,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct146,112,2003,Miminco v. Congo,Miminco LLC and others v. Democratic Republic of the Congo,(ICSID Case No. ARB/03/14),"Congo, Democratic Republic of the - United States of America BIT (1984)","Congo, Democratic Republic of the",United States of America,Settled,Award embodying the parties' settlement agreement dated 19 November 2007,yes,yes,.,.,.,"Miminco's expropriated assets were returned to it in 2008, but re-expropriated months later. The ruling has since been overturned, but I can find no evidence that the firm has received its property back.",2008,,,Unclear,0,"For details on the case, see Hafner-Burton, Emilie M., Zachary C. Steinert-Threlkeld, and David G. Victor. “Transparency of Investor-State Arbitration,” 13 September 2013, working paper, p. 47. Accessed online.","For reinvestment data, see “Miminco Investment Dispute Still Simmers, 8 January 2010”. Accessed online at:https://www.wikileaks.org/plusd/cables/10KINSHASA22_a.html",.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct147,113,2003,Impregilo v. Pakistan (II),Impregilo S.p.A. v. Islamic Republic of Pakistan (II),(ICSID Case No. ARB/03/3),Italy - Pakistan BIT (1997),Pakistan,Italy,Settled,Decision on Jurisdiction dated 22 April 2005,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct148,114,2003,Telekom Malaysia v. Ghana,Telekom Malaysia Berhad v. The Republic of Ghana,(PCA Case No. 2003-03),Ghana - Malaysia BIT (1996),Ghana,Malaysia,Settled,Data not available,.,.,.,.,,,,,,,,"for details on case, see 'INVEST-SD: Investment Law and Policy News Bulletin, May. 27, 2005 'http://www.iisd.org/pdf/2005/investment_investsd_may27_2005.pdf'  Accessed online.","For details on case, see 'State and Telekom Malaysia settle Ghana Telecom dispute' https://www.telegeography.com/products/commsupdate/articles/2005/05/09/state-and-telekom-malaysia-settle-ghana-telecom-dispute/. Accessed online.",.,.,.,.,.,.,.,"Government acquired Telecomn Malaysia's minority stake in Ghana (Sources 1, source 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct149,115,2003,Azurix v. Argentina (II),Azurix Corp. v. Argentine Republic (II),(ICSID Case No. ARB/03/30),Argentina - United States of America BIT (1991),Argentina,United States of America,Discontinued,"Order for the discontinuance of the proceeding issued by the Tribunal dated 18 June 2012, pursuant to ICSID Administrative and Financial Regulation 14(3)(d)",.,no,no,no,,,,,,,,"For reinvestment data, see “Azurix Corp., August 2015.” Zoom Company Information via LexisNexis Academic. Accessed Online.","For reinvestment data, see Enron Corp. Form 10-K for For the fiscal year ended December 31, 2000. Retrieved from SEC EDGAR website. Accessed online.",.,.,.,.,.,.,.,Source3: Was an Enron subsidary. Source2: company website and phone number are unresponsive. 10-K 2000 (source 3) speficies that company is Enron subsidiary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct150,116,2003,Camuzzi v. Argentina (I),Camuzzi International S.A. v. Argentine Republic (I),(ICSID Case No. ARB/03/2),Argentina - BLEU (Belgium-Luxembourg Economic Union) BIT (1990),Argentina,Luxembourg,Pending,Decision on Jurisdiction dated 11 May 2005,yes,.,.,yes,129541877,Total Argentine assets as of 12/31/2017,2018,,,Still holds assets,1,"For reinvestment data, see Camuzzi Gas Pampeana S.A. Estados financieros al 31 de diciembre de 2014. Camuzzi website. Accessed online at http://www.camuzzigas.com/documentos/informes-trimestrales/cgp/2014/pa1214es.pdf.","For reinvestment data, see “Camuzzi Gas Pampeana S.A, August 2015.” Zoom Company Information via LexisNexis Academic. Accessed Online.","For reinvestment data see https://doc.morningstar.com/Document/8c43bcf6cc8d40f03b5ed95ea2cf70ab.msdoc/original?clientid=globaldocuments&key=52dbc583e1012395#page=2&zoom=auto,-4,475",.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct151,117,2003,Continental Casualty v. Argentina,Continental Casualty Company v. Argentine Republic,(ICSID Case No. ARB/03/9),Argentina - United States of America BIT (1991),Argentina,United States of America,Decided in favour of investor,Decision on Jurisdiction dated 22 February 2006,.,.,.,no,,,,,,,,"For reinvestment data, see BP. Annual Report and Form 20-F 2014. BP website. Accessed online at https://www.bp.com/content/dam/bp/pdf/investors/BP_Annual_Report_and_Form_20F_2014.pdf.","For reinvestment data, see “Pan American Energy LLC, 28 September 2015.” LexisNexis Corporate Affiliations via LexisNexis Academic. Accessed Online.",.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct152,118,2003,Gas Natural v. Argentina,"Gas Natural SDG, S.A. v. Argentine Republic",(ICSID Case No. ARB/03/10),Argentina - Spain BIT (1991),Argentina,Spain,Pending,Decision of the Tribunal on Preliminary Questions on Jurisdiction dated 17 June 2005,yes,yes,.,yes,.,"The firm aggregates investment stats at the regional level, not the state level.",2018,,,Still holds assets,1,"For reinvestment data, see Gasnatural Fenosa. 2014 Integrated Annual Report. Gasnatural Fenose website. Accessed online at http://www.gasnaturalfenosa.com/servlet/ficheros/1297147982364/InformeIntegrado_ing_accesible_op,0.pdf.",For reinvestment data see https://www.naturgy.com/en/files/Informe_Financiero_Anual_Consolidado_eng.pdf,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct153,119,2003,Aguas Cordobesas v. Argentina,"Aguas Cordobesas, S.A., Suez, and Sociedad General de Aguas de Barcelona, S.A. v. Argentine Republic",(ICSID Case No. ARB/03/18),Argentina - Spain BIT (1991)/Argentina - France BIT (1991),Argentina,Spain,Settled,Data not available,yes,yes,.,yes,.,Suez does not seem to disaggregate their financials by region/country,2018,,,Still holds assets,1,"For reinvestment, Suez environnement. Annual Report 2014. Suez website. Accessed online at http://www.suez-environnement.fr/wp-content/uploads/2015/05/SUEZ-environnement_AnnualReport2014.pdf.","For reinvestment data, see Aguas Cordobesas. “Contacto.” Accessed online at https://www.aguascordobesas.com.ar/contacto.","For reinvestment data, see ""French Suez, Argentina Cordoba Province Reach Agreement."" Latin American News Digest. Accessed via Factiva at https://global-factiva-com.ezproxy.lib.utexas.edu/redir/default.aspx?P=sa&an=LATIND0020040820e08k0005o&cat=a&ep=ASE.",For reinvestment data see http://www.suez.com/-/media/SUEZ-GLOBAL/Files/Publication-Docs/PDF-English/SUEZ-Reference-Document-2017-EN.pdf,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct154,120,2003,Suez and Interagua v. Argentina,"Suez, Sociedad General de Aguas de Barcelona, S.A. and Interagua Servicios Integrales de Agua, S.A. v. Argentine Republic",(ICSID Case No. ARB/03/17),Argentina - France BIT (1991)/Argentina - Spain BIT (1991),Argentina,France,Data not available,Decision on Liability dated 30 July 2010,.,no,.,no,,,,,,,,"For details on the case, see Johnson, Lise. “Argentina on the hook for breach of Fair and Equitable Treatment.” Investment Treaty News, the International Institute for Sustainable Development, 23 September 2010. Accessed online.","For compliance data, see Peterson, Luke Eric. “As Sempra Case Settles, Argentina Is Hit with 405 Million Bill in Buenos Aires Water Dispute; Next Phase of Case Could See Arbitrator Ethics Fight” Investment Arbitration Reporter, 10 April 2015. Accessed online.","For reinvestment data, see “GDF Suez, 13 March 2015.” Infolegale - Fiche d'identité Entreprise via LexisNexis Academic. Accessed Online.",.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct155,121,2003,Vivendi v. Argentina (II),"Suez, Sociedad General de Aguas de Barcelona, S.A. and Vivendi Universal, S.A. (formerly Aguas Argentinas, S.A., Suez, Sociedad General de Aguas de Barcelona, S.A. and Vivendi Universal, S.A.) v. Argentine Republic (II)",(ICSID Case No. ARB/03/19),Argentina - France BIT (1991)/Argentina - Spain BIT (1991),Argentina,France/Spain,Decided in favour of investor,Decision on Liability dated 30 July 2010,yes,yes,.,no,.,Suez does not seem to disaggregate their financials by region/country,2018,,,Still holds assets,1,"For details on the case, see Johnson, Lise. “Argentina on the hook for breach of Fair and Equitable Treatment.” Investment Treaty News, the International Institute for Sustainable Development, 23 September 2010. Accessed online.","For compliance data, see Peterson, Luke Eric. “As Sempra Case Settles, Argentina Is Hit with 405 Million Bill in Buenos Aires Water Dispute; Next Phase of Case Could See Arbitrator Ethics Fight” Investment Arbitration Reporter, 10 April 2015. Accessed online.","For reinvestment data, see “GDF Suez, 13 March 2015.” Infolegale - Fiche d'identité Entreprise via LexisNexis Academic. Accessed Online.","For reinvestment data, see Wailin Wong and David Roman, ""Agbar: Staying With Argentina Water Concession - Reports."" Dow Jones International News, 22 Febuary 2005. Accessed via Factiva at https://global-factiva-com.ezproxy.lib.utexas.edu/redir/default.aspx?P=sa&an=DJI0000020050222e12m000q9&cat=a&ep=ASE.",NA,For reinvestment data see http://www.suez.com/-/media/SUEZ-GLOBAL/Files/Publication-Docs/PDF-English/SUEZ-Reference-Document-2017-EN.pdf,.,.,.,Source 4 identifies reinvst_stay for Sociedad General de Aguas de Barcelona.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
