filed (Year filed),end (Year end),host (Hos tstate ISO3),home (Home state ISO3),home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),parties (Parties to arbitration),venue (Venue or rules adopted),caseno (Case no.),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),winner (Status/winner pre-annulment),awardinvst_text (Text on award to investor),"awardinvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),Annul_end (Year annulment ends),annulstatus (Status of annulment)
2000,2002,LKA,USA,n.a.,n.a.,n.a.,n.a.,Mihaly International Corp. v. Democratic Socialist Republic of Sri Lanka,ICSID,ARB/00/2,Sri Lanka-United States BIT,Electric power concession,UTL,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
2009,2012,LKA,DEU,n.a.,n.a.,n.a.,n.a.,Deutsche Bank AG v. Democratic Socialist Republic of Sri Lanka ,ICSID,ARB/09/2,Germany-Sri Lanka BIT,Oil and gas,OIL,US$60368993 plus interest and costs of arbitration,60.4,yes,investor,"US$60.4, plus interest and legal fees (US$8m)",60.4,yes,2013,pending,pending
2012,pending,LTU,RUS,n.a.,n.a.,n.a.,n.a.,Vladimir Antonov v. Republic of Lithuania,ICC,n.a.,Lithuania-Russian Federation BIT ,unknown,unknown,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,LTU,RUS,n.a.,n.a.,n.a.,n.a.,OAO Gazprom v. Lithuania,UNCITRAL,n.a.,Lithuania-Russian Federation BIT ,Oil and gas (distribution),OIL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2010,2013,LTU,ITA,n.a.,n.a.,n.a.,n.a.,Luigiterzo Bosca v. Lithuania,PCA,n.a.,Lithuania-Italy BIT,Brewery,MFG,US$250m,250,yes,investor,No award. Respondent to bear all of the arbitration costs and  80% of the ClaimantÕs legal costs.,0,n.a.,n.a.,n.a.,n.a.
2005,2007,LTU,NOR,n.a.,n.a.,n.a.,n.a.,Parkerings-Compagniet AS v. Republic of Lithuania ,ICSID,ARB/05/8,Lithuania-Norway BIT,Public parking concession,SER,Û37.1m,40,yes,state,0,0,no,n.a.,n.a.,n.a.
2012,2013,LTU,RUS,n.a.,n.a.,n.a.,n.a.,OAO Gazprom v. The Republic of Lithuania,ICC,n.a.,Lithuania-Russian Federation BIT ,Electric power concession,UTL,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
2001,2003,LVA,SWE,n.a.,n.a.,n.a.,n.a.,Nykomb Synergetics v. Latvia,SCC,n.a.,Energy Charter Treaty,Electric power concession,UTL,Approximately US$12.8m,12.8,yes,investor,"Latvian Lats 1600000, plus interest",3,n.a.,n.a.,n.a.,n.a.
2012,pending,LVA,LTU,n.a.,n.a.,n.a.,n.a.,UAB E energija (Lithuania) v. Republic of Latvia,ICSID,ARB/12/33,Latvia-Lithuania BIT,Electric power concession,UTL,Û7m,8.7,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1999,2000,LVA,SWE,n.a.,n.a.,n.a.,n.a.,Swembalt AB v. Latvia,UNCITRAL,n.a.,Latvia-Sweden BIT,Salvage,SER,US$2806258 plus interest and costs,2.8,yes,investor,"US$2,506,235 awarded plus 10% annual interest starting 9 Apr 1999; legal fees unclear; Award unsuccessfully challenged in Swedish courts",2.5,n.a.,n.a.,n.a.,n.a.
2000,2004,MAR,ITA,n.a.,n.a.,n.a.,n.a.,Salini Costruttori & Italstrade v. Kingdom of Morocco,ICSID,ARB/00/4,Italy-Morocco BIT,Highway construction project ,UTL,Equivalent to US$66114917,66.1,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2000,2003,MAR,ITA,n.a.,n.a.,n.a.,n.a.,Consortium RFCC v. Morocco,ICSID,ARB/00/6,Italy-Morocco BIT,Highway construction project ,UTL,Û72186174.35,68,yes,state,0,0,yes,2004,2006,upheld
2012,2013,MDA,RUS,n.a.,n.a.,n.a.,n.a.,Grand Torg SRL v. Moldova (also known as  Yuri Bogdanov and Yulia Bodganova v. Republic of Moldova),SCC,V091/2012,Moldova-Russian Federation BIT,Manufacturing (chemical products),MFG,US$150000,0.2,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
1999,2002,MDA,USA,n.a.,n.a.,n.a.,n.a.,Link Trading v. Moldova,UNCITRAL,n.a.,Moldova-United States BIT,Import/export (consumer products),SER,US$3458813.25,3.5,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2004,2005,MDA,RUS,n.a.,n.a.,n.a.,n.a.,"Iurii Bogdanov, Agurdino-Invest Ltd & Agurdino-Chimia JSC v. Republic of Moldova",SCC,n.a.,Moldova-Russian Federation BIT,Manufacturing (paints),MFG,"Not less than Moldovan Lei 621021, plus interest",0.05,yes,investor,"Moldovan Lei 310000, awarded plus interest amounting to Moldovan Lei 384896",0.02,n.a.,n.a.,n.a.,n.a.
2005,2010,MDA,RUS,n.a.,n.a.,n.a.,n.a.,Bogdanov (individual) v. Republic of Moldova ,SCC,n.a.,Moldova-Russian Federation BIT,Manufacturing (chemical products),MFG,Approximately US$0.071m,0.07,yes,investor,"Moldovan Lei 475,386; Respondent to pay 2/3 of Claimant's legal costs",0.04,n.a.,n.a.,n.a.,n.a.
2014,pending,MDA,RUS,n.a.,n.a.,n.a.,n.a.,TSIKinvest LLC v. Republic of Moldova,SCC Emergency Arbitration,EA2014/053,Moldova-Russian Federation BIT,Financial industry,FIN,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,MDA,UKR,n.a.,n.a.,n.a.,n.a.,Energoalians SARL v. Republic of Moldova,SCC,V2012/175,"Moldova-Ukraine BIT, Energy Charter Treaty",Electric power concession,UTL,US$1.7m,1.7,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2010,2013,MDA,UKR,n.a.,n.a.,n.a.,n.a.,Energoalians SARL v. Republic of Moldova,UNCITRAL,n.a.,"Moldova-Ukraine BIT, Energy Charter Treaty",Electric power concession,UTL,unknown,unknown,yes,investor,US$49m,49,n.a.,n.a.,n.a.,n.a.
2011,2013,MDA,FRA,n.a.,n.a.,n.a.,n.a.,Mr. Franck Charles Arif v. Republic of Moldova,ICSID,ARB/11/23,France-Moldova BIT,Retail (duty free stores),SER,"Range: Between Û21.5m and Û38.3m, plus interest",28.8,yes,investor,Moldovan Lei 35136294,1.7,no,n.a.,n.a.,n.a.
2013,pending,MDG,MUS,n.a.,n.a.,n.a.,n.a.,Courts (Indian Ocean) Limited and Courts Madagascar S.A.R.L. v. Mauritius,ICSID,ARB/13/34,Mauritius-Madagascar BIT,Retail,SER,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1994,1996,MDG,DEU,n.a.,n.a.,n.a.,n.a.,SEDITEX Engineering Beratungsgesellschaft fŸr dieTextilindustrie m.b.H. v. Madagascar ,ICSID CR,CONC/94/1,Contract with host state,Textile enterprise,MFG,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2012,pending,MKD,NLD,n.a.,n.a.,n.a.,n.a.,"Guardian Fiduciary Trust, Ltd, f/k/a Capital Conservator Savings & Loan, Ltd v. Macedonia, former Yugoslav Republic of ",ICSID,ARB/12/31,Netherlands-Macedonia BIT,Banking,FIN,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2009,2011,MKD,AUT,n.a.,n.a.,n.a.,n.a.,"EVN AG v. Macedonia, former Yugoslav Republic of",ICSID,ARB/09/10,"Austria-Macedonia BIT, Energy Charter Treaty",Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2009,2012,MKD,CHE,n.a.,n.a.,n.a.,n.a.,"Swisslion DOO Skopje v. Macedonia, former Yugoslav Republic of",ICSID,ARB/09/16,"Serbia-Macedonia BIT, Switzerland-Macedonia BIT",Manufacturing (confectionary),MFG,unknown,unknown,yes,investor,Û350k; Respondent to pay additional Û350k to the Claimant for legal fees and expenses,0.5,no,n.a.,n.a.,n.a.
2001,2003,MLI,ZAF,n.a.,n.a.,n.a.,n.a.,Soci_t_ d'Exploitation des Mines d'Or de Sadiola SA v. Republic of Mali  ,ICSID,ARB/01/5,other (as coded by ICSID),Mining (gold),MIN,unknown,unknown,yes,investor,West African CFA 1800240000,2.6,no,n.a.,n.a.,n.a.
2000,2003,MMR,SGP,n.a.,n.a.,n.a.,n.a.,Yaung Chi OO Trading Pte Ltd. v. Government of the Union of Myanmar,ad hoc,ARB/01/1,ASEAN Agreement for the Promotion and Protection of Investments (1987),Brewery,MFG,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
2013,pending,MNE,CYP,n.a.,n.a.,n.a.,n.a.,Central European Aluminium Company (CEAC Holdings Limited) v. Montenegro (parallel at ICSID),UNCITRAL,n.a.,Contract with host state,Aluminum (bauxite),MIN,US$1362m,1362,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,MNE,CYP,n.a.,n.a.,n.a.,n.a.,CEAC Holdings Limited v. Montenegro (parallel under UNCITRAL),ICSID,ARB/14/8,Cyprus-Montenegro BIT,Aluminum (bauxite),MIN,US$1362m,1362,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,MNE,NLD,n.a.,n.a.,n.a.,n.a.,"MNSS B.V. and Recupero Credito Acciaio N.V. v. Montenegro  
",ICSID AF,ARB(AF)/12/8,Montenegro-Netherlands BIT; Montenegro Investment Law (2011),Steel production,MFG,Û72m,90,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2008,2011,MNG,RUS,n.a.,n.a.,n.a.,n.a.,"Sergei Paushok, et al v. Mongolia ",UNCITRAL,n.a.,Mongolia-Russia BIT,Mining (gold),MIN,unknown,unknown,yes,investor,0,0,n.a.,n.a.,n.a.,n.a.
2004,2006,MNG,ITA,n.a.,n.a.,n.a.,n.a.,Alstom Power Italia SpA and Alstom SpA v. Republic of Mongolia,ICSID,ARB/04/10,"Italy-Mongolia BIT, Energy Charter Treaty",Electric power concession (thermal),UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2014,pending,MOZ,ZAF,n.a.,n.a.,n.a.,n.a.,Oded Besserglik v. Republic of Mozambique,ICSID AF,ARB(AF)/14/2,"Mozambique-South Africa BIT, Mozambique Investment Law (1993)",Agricultural enterprise (fishing),AGR,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,MRT,unknown,n.a.,n.a.,n.a.,n.a.,Tamagot Bumi S.A. and Bumi Mauritania S.A. v. Islamic Republic of Mauritania,ICSID,ARB/14/23,"Contract, Mauritania Investment Law",Mining (iron ore),MIN,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1994,1996,MYS,BELLUX,n.a.,n.a.,n.a.,n.a.,Philippe Gruslin v. Malaysia ,ICSID,ARB/94/1,Belgium & Luxembourg-Malaysia BIT,Finance (securities),FIN,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1999,2000,MYS,BELLUX,n.a.,n.a.,n.a.,n.a.,Phillipe Gruslin v. Malaysia,ICSID,ARB/99/3,Belgium & Luxembourg-Malaysia BIT,Finance (securities),FIN,Approximately US$1.2m,1.2,yes,state,0,0,yes,2000,2001,discontinued
2005,2007,MYS,GBR,n.a.,n.a.,n.a.,n.a.,"Malaysian Historical Salvors, SDN, BHD v. Malaysia ",ICSID,ARB/05/10,Malaysia-United Kingdom BIT,Salvage,SER,Approximately US$1.4m,1.4,yes,state,0,0,yes,2007,2009,overturned
2003,2005,NER,CAN,n.a.,n.a.,n.a.,n.a.,TG World Petroleum Limited v. Republic of Niger  ,ICSID CR,CONC/03/1,Contract with host state,Oil and gas (exploration),OIL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2007,2011,NGA,NLD,n.a.,n.a.,n.a.,n.a.,Shell Nigeria Ultra Deep Limited v. Federal Republic of Nigeria ,ICSID,ARB/07/18,Netherlands-Nigeria BIT ,Oil and gas,OIL,At least US$500m,500,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2011,2013,NGA,BELLUX,n.a.,n.a.,n.a.,n.a.,AHS Niger and Menzies Middle East and Africa S.A. v. Republic of Niger,ICSID,ARB/11/11,"Nigerian Investment Code, Contract",Airport (baggage handling),SER,unknown,unknown,yes,investor,Û4.6m,6.1,no,n.a.,n.a.,n.a.
2006,2007,NIC,NLD,n.a.,n.a.,n.a.,n.a.,Shell Brands International AG & Shell Nicaragua SA v. Republic of Nicaragua ,ICSID,ARB/06/14,Netherlands-Nicaragua BIT ,Oil and gas,OIL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2011,pending,OMN,USA,n.a.,n.a.,n.a.,n.a.,Adel A Hamadi Al Tamimi v. Sultanate of Oman,ICSID,ARB/11/33,Oman-United States FTA,Mining (quarrying),MIN,US$560m,560,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,PAK,AUS,n.a.,n.a.,n.a.,n.a.,Tethyan Copper Company Pty Limited v. Islamic Republic of Pakistan  ,ICSID,ARB/12/1,Australia-Pakistan BIT,Mining,MIN,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,PAK,KWT,n.a.,n.a.,n.a.,n.a.,Agility for Public Warehousing Company K.S.C. v. Islamic Republic of Pakistan ,ICSID,ARB/11/8,Kuwait-Pakistan BIT,Software,SER,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,PAK,TUR,n.a.,n.a.,n.a.,n.a.,Karkey Karadeniz Elektrik Uretim A.S. v. Pakistan,ICSID,ARB/13/1,Turkey-Pakistan BIT,Electric power concession (floating barges),UTL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2003,2005,PAK,ITA,n.a.,n.a.,n.a.,n.a.,Impregilo SpA v. Islamic Republic of Pakistan ,ICSID,ARB/03/3 [see ARB/02/2],Italy-Pakistan BIT,Electric power concession (hydro),UTL,US$450m plus interest and costs,450,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2002,2002,PAK,ITA,n.a.,n.a.,n.a.,n.a.,Impregilo SpA v. Islamic Republic of Pakistan ,ICSID,ARB/02/2 [See ARB/03/3],Italy-Pakistan BIT,Electric power concession (hydro),UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2001,2004,PAK,CHE,n.a.,n.a.,n.a.,n.a.,SGS Soci_t_ G_n_rale de Surveillance SA v. Islamic Republic of Pakistan,ICSID,ARB/01/13,Pakistan-Switzerland BIT,Consulting services (testing and verification),SER,"US$112268430.49 plus damages (to be quantified later) for alleged harm to reputation, plus interest and costs",112.3,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2009,PAK,TUR,n.a.,n.a.,n.a.,n.a.,Bayindir Insaat Turizm Ticaret Ve Sanayi AS v. Islamic Republic of Pakistan ,ICSID,ARB/03/29,Pakistan-Turkey BIT,Highway construction project ,UTL,In excess of US$300m,300,yes,state,0,0,no,n.a.,n.a.,n.a.
2014,pending,PAN,USA,n.a.,n.a.,n.a.,n.a.,"IBT Group LLC., Constructor, Consulting and Engineering (Panamà), S.A., and International Business and Trade, LLC. V. Republic of Panama",ICSID,ARB/14/33,Panama-United States BIT,Manufacturing (asphalt),MFG,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,PAN,USA,n.a.,n.a.,n.a.,n.a.,"Transglobal Green Energy LLC and Transglobal Green Panama, S.A. v. Panama",ICSID,ARB/13/28,Panama-United States BIT,Electric power and hydrocarbon concession,UTL,US$2500m,2500,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2006,2010,PAN,USA,n.a.,n.a.,n.a.,n.a.,"Nations Energy, Inc., et al v. Republic of Panama",ICSID,ARB/06/19,Panama-United States BIT ,Electric power concession,UTL,unknown,unknown,yes,state,0,0,yes,2011,2012,discontinued
2014,pending,PER,CAN,n.a.,n.a.,n.a.,n.a.,Bear Creek Mining Corporation v. Republic of Peru,ICSID,ARB/14/21,Canada-Peru FTA,Mining (silver),MIN,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,PER,USA,n.a.,n.a.,n.a.,n.a.,Pluspetrol Perœ Corporation and others v. Perupetro S.A.   ,ICSID,ARB/12/28,Contract with host state,Oil and gas,OIL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,PER,FRA,n.a.,n.a.,n.a.,n.a.,Ren_e Rose Levy and Gremcitel S.A. v. Republic of Peru,ICSID,ARB/11/17,France-Peru BIT,Real estate,RE,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,PER,FRA,n.a.,n.a.,n.a.,n.a.,"DP World Callao S.R.L., P&O Dover (Holding) Limited, and The Peninsular and Oriental Steam Navigation Company v. Republic of Peru",ICSID,ARB/11/21,"Peru-United Kingdom BIT, Contract",Port terminal concession,SER,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1998,2001,PER,FRA,n.a.,n.a.,n.a.,n.a.,Compagnie Minière Internationale Or S.A. v. Republic of Peru  ,ICSID,ARB/98/6,France-Peru BIT,Mining (gold),MIN,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2012,2014,PER,ESP,n.a.,n.a.,n.a.,n.a.,Elecnor S.A. and Isolux Cors‡n Concesiones S.A. v. Republic of Peru  ,ICSID,ARB/12/5,Spain-Peru BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2010,2013,PER,ARG,n.a.,n.a.,n.a.,n.a.,Convial Callao SA and CCI - Compa–’a de Concesiones de Infraestructura SA v. Republic of Peru,ICSID,ARB/10/2,Argentina-Peru BIT,Highway construction project ,UTL,At least US$114.5m,114.5,yes,state,0,0,no,n.a.,n.a.,n.a.
2011,2013,PER,ESP,n.a.,n.a.,n.a.,n.a.,Caravel’ Cotaruse Transmisora de Energ’a S.A.C. v. Republic of Peru ,ICSID,ARB/11/9,Contract with host state,Electric power concession,UTL,US$100m,100,yes,state,0,0,no,n.a.,n.a.,n.a.
2006,2008,PER,USA,n.a.,n.a.,n.a.,n.a.,Aguaytia Energy LLC v. Republic of Peru,ICSID,ARB/06/13,"Contract with host state (""Legal stability"" clause)",Electric power concession,UTL,US$91.1m,91.1,yes,state,0,0,no,n.a.,n.a.,n.a.
2011,pending,PER,USA,n.a.,n.a.,n.a.,n.a.,"Renco Group, Inc v. Peru",ICSID UNCITRAL,UNCT/13/1,Peru-United States Trade Promotion Agreement,Mining,MIN,unknown,unknown,no,pending,n.a.,n.a.,no,n.a.,n.a.,n.a.
2003,2005,PER,CHL,n.a.,n.a.,n.a.,n.a.,Lucchetti SA & Lucchetti Peru SA v. Republic of Peru ,ICSID,ARB/03/4,Chile-Peru BIT,Manufacturing (pasta),MFG,unknown,unknown,yes,state,0,0,yes,2005,2007,upheld
2010,2014,PER,FRA,n.a.,n.a.,n.a.,n.a.,Ren_e Rose Levy de Levi v. Republic of Peru,ICSID,ARB/10/17,France-Peru BIT,Banking,FIN,US$4.036m (plus interest at 11.11%) for material damages and $2.953m for moral damages,7,yes,state,0,0,yes,2014,2014,discontinued
2003,2008,PER,BMU,n.a.,n.a.,n.a.,n.a.,Duke Energy International Peru Investments No. 1 Ltd. v. Republic of Peru ,ICSID,ARB/03/28,"Contract with host state (""Legal stability"" clause)",Electric power concession,UTL,unknown,unknown,yes,investor,"US$18.4m, plus interest (each party to pay their legal costs and split cost of arbitration)",18.4,yes,2008,2011,upheld
2007,2011,PER,CHN,n.a.,n.a.,n.a.,n.a.,Tza Yap Shum v. Republic of Peru ,ICSID,ARB/07/6,China-Peru BIT,Manufacturing (fish flour),MFG,Approximately US$20m,20,yes,investor,"US$786,306 plus interest; legal costs unclear",0.8,yes,2011,pending,pending
2011,pending,PHL,BELLUX,n.a.,n.a.,n.a.,n.a.,Baggerwerken Decloedt En Zoon NV v. Republic of the Philippines,ICSID,ARB/11/27,Belgium & Luxembourg-Philippines BIT,Dredging operations,SER,Philippines Peso 6b,134.01,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2002,2008,PHL,CHE,n.a.,n.a.,n.a.,n.a.,SGS Soci_t_ G_n_rale de Surveillance SA v. Republic of the Philippines,ICSID,ARB/02/6,Philippines-Switzerland BIT,Consulting services (testing and verification),SER,"Approximately US$140m, plus interest",140,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2011,2014,PHL,DEU,n.a.,n.a.,n.a.,n.a.,Fraport AG Frankfurt Airport Services Worldwide v. Republic of the Philippines,ICSID,ARB/11/12,Germany-Philippines BIT,Airport,SER,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
2003,2007,PHL,DEU,n.a.,n.a.,n.a.,n.a.,Fraport AG Frankfurt Airport Services Worldwide v. Republic of the Philippines,ICSID,ARB/03/25,Germany-Philippines BIT,Airport,SER,Approximately US$450m,450,yes,state,0,0,yes,2008,2010,overturned
2013,pending,PNG,SGP,n.a.,n.a.,n.a.,n.a.,PNG Sustainable Development Program Ltd. v. Independent State of Papua New Guinea,ICSID,ARB/13/33,Papua New Guinea Investment Law,Mining (gold and copper),MIN,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1996,2001,PNG,AUS,n.a.,n.a.,n.a.,n.a.,Misima Mines Pty. Ltd. v. Independent State of Papua New Guinea ,ICSID,ARB/96/2,other (as coded by ICSID),Mining,MIN,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2008,2011,POL,CYP,n.a.,n.a.,n.a.,n.a.,Mercuria Energy Group Limited (Mercuria) v. Poland ,SCC ,n.a.,Energy Charter Treaty ,Oil and gas,OIL,US$700m,700,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
1996,2001,POL,DEU,n.a.,n.a.,n.a.,n.a.,Saar Papier v. Poland (2nd case),UNCITRAL,n.a.,Germany-Poland BIT,Waste paper enterprise,MFG,unknown,unknown,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2008,2012,POL,DEU,n.a.,n.a.,n.a.,n.a.,TRACO Deutsche Travertinwerke GmbH v. The Republic of Poland,UNCITRAL,n.a.,Germany-Poland BIT,Mining (quarrying),MIN,Û8.2m,10.6,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2006,2009,POL,DEU,n.a.,n.a.,n.a.,n.a.,Nordzucker v Poland ,UNCITRAL,n.a.,Germany-Poland BIT ,Agricultural enterprise (sugar),AGR,Û153.7 m,165,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2009,2012,POL,FRA,n.a.,n.a.,n.a.,n.a.,Laboratoires Servier v. Poland,UNCITRAL,n.a.,France-Poland BIT ,Pharmaceuticals enterprise,MFG,Û235m,309.3,yes,investor,Û4m,5.2,n.a.,n.a.,n.a.,n.a.
1994,1995,POL,DEU,n.a.,n.a.,n.a.,n.a.,Saar Papier v. Poland (1st case),UNCITRAL,n.a.,Germany-Poland BIT,Waste paper enterprise,MFG,unknown,unknown,yes,investor,DM2.3m plus interest; Respondent to pay cost of arbitration,1.4,n.a.,n.a.,n.a.,n.a.
1999,2011,POL,FRA,n.a.,n.a.,n.a.,n.a.,Vivendi SA and Vivendi Telecom International SA v. Poland,UNCITRAL,n.a.,Contract with host state,Telecommunications (mobile),TEL,US$3b (and Respondent counterclaim of up to US$400m),3000,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1996,1996,POL,FRA,n.a.,n.a.,n.a.,n.a.,France Telecom v. Poland,UNCITRAL,n.a.,France-Poland BIT,Telecommunications (mobile),TEL,Approximately US$500m,500,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2006,2011,POL,FRA,n.a.,n.a.,n.a.,n.a.,Vivendi v. Poland ,UNCITRAL,n.a.,France-Poland BIT ,Telecommunications (mobile),TEL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1996,1996,POL,USA,n.a.,n.a.,n.a.,n.a.,Ameritech v. Poland,UNCITRAL,n.a.,Poland-United States BIT,Telecommunications (mobile),TEL,Approximately US$500m,500,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1998,unknown,POL,DEU,n.a.,n.a.,n.a.,n.a.,Lutz Ingo Schaper v. Poland,UNCITRAL,n.a.,Germany-Poland BIT,Waste paper enterprise,MFG,DM5m,3,yes,unknown,unknown,unknown,n.a.,n.a.,n.a.,n.a.
2003,2005,POL,NLD,n.a.,n.a.,n.a.,n.a.,Eureko BV v. Poland,UNCITRAL,n.a.,Netherlands-Poland BIT,Finance (insurance),FIN,unknown,unknown,yes,investor,unknown,unknown,n.a.,n.a.,n.a.,n.a.
2009,2011,POL,JOR,n.a.,n.a.,n.a.,n.a.,East Cement for Investment Company v. Poland,ICC,16509/JHN,Poland-Jordan BIT,Manufacturing (cement),MFG,US$280000,0.3,yes,state,0,0,no,n.a.,n.a.,n.a.
2010,2014,POL,USA,n.a.,n.a.,n.a.,n.a.,David Minnotte and Robert Lewis v. Republic of Poland,ISCID AF,ARB(AF)/10/1 ,Poland-United States BIT,Health services (Blood treatment & processing facility),SER,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
2011,pending,POL,USA,n.a.,n.a.,n.a.,n.a.,"Vincent J. Ryan, Schooner Capital LLC, and Atlantic Investment Partners LLC v. Republic of Poland ",ISCID AF,ARB(AF)/11/3,Poland-United States BIT,Manufacturing (vegetable oil),MFG,unknown,unknown,no,pending,n.a.,n.a.,no,n.a.,n.a.,n.a.
unknown,2005,POL,ESP,n.a.,n.a.,n.a.,n.a.,Crespo and others v. Poland,ICC,n.a.,Poland-Spain BIT,unknown,unknown,unknown,unknown,yes,investor,unknown,unknown,no,n.a.,n.a.,n.a.
2004,2008,POL,USA,n.a.,n.a.,n.a.,n.a.,Cargill Incorporated v. Republic of Poland,ISCID AF,ARB(AF)/04/2,Poland-United States BIT,Manufacturing (isoglucose),MFG,Approximately US$150m,150,yes,investor,US$16.3m,16.3,no,n.a.,n.a.,n.a.
2002,unknown ,PRT,DEU,n.a.,n.a.,n.a.,n.a.,German investor v. Portugal,UNCITRAL,n.a.,Germany-Portugal BIT,unknown,unknown,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2007,2014,PRY,NLD,n.a.,n.a.,n.a.,n.a.,"Bureau Veritas, Inspection, Valuation, Assestment and Control, BIVAC BV v. Republic of Paraguay ",ICSID,ARB/07/9,Netherlands-Paraguay BIT,Consulting services,SER,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1998,2001,PRY,PER,n.a.,n.a.,n.a.,n.a.,Eudoro Armando Olguin v. Republic of Paraguay ,ICSID,ARB/98/5,Paraguay-Peru BIT,Manufacturing (foodstuffs),MFG,"Paraguayan Guarani 2407057500, plus interest",1.3,yes,state,0,0,no,n.a.,n.a.,n.a.
