filed (Year filed),end (Year end),host (Hos tstate ISO3),home (Home state ISO3),home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),parties (Parties to arbitration),venue (Venue or rules adopted),caseno (Case no.),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),winner (Status/winner pre-annulment),awardinvst_text (Text on award to investor),"awardinvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),Annul_end (Year annulment ends),annulstatus (Status of annulment)
2003,2005,ARG,USA,n.a.,n.a.,n.a.,n.a.,"Pioneer Natural Resources Company, Pioneer Natural Resources (Argentina) SA & Pioneer Natural Resources (Tierra del Fuego) SA v. Argentine Republic ",ICSID,ARB/03/12,Argentina-United States BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2002,2008,ARG,USA,n.a.,n.a.,n.a.,n.a.,AES Corporation v. Argentine Republic ,ICSID,ARB/02/17,Argentina-United States BIT,Electric power concession,UTL,US$750m,750,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2008,ARG,USA,n.a.,n.a.,n.a.,n.a.,Unisys v. Argentine Republic ,ICSID,ARB/03/27,Argentina-United States BIT ,Software,SER,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2007,ARG,BELLUX,n.a.,n.a.,n.a.,n.a.,Camuzzi International S.A. v. Argentine Republic ,ICSID,ARB/03/7,"Belgium & Luxembourg-Argentina BIT, US-Argentina BIT",Electric power concession,UTL,US$245m,245,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1999,2001,ARG,CHL,n.a.,n.a.,n.a.,n.a.,Empresa Nacional de Electricidad SA v. Argentine Republic  ,ICSID,ARB/99/4,Chile-Argentina BIT,Electric power concession (hydro),UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1999,1999,ARG,USA,n.a.,n.a.,n.a.,n.a.,Mobil Argentina SA v. Argentine Republic ,ICSID,ARB/99/1,United States-Argentina BIT,Oil and gas,OIL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2006,ARG,USA,n.a.,n.a.,n.a.,n.a.,RGA Reinsurance Company v. Argentine Republic ,ICSID,ARB/04/20,United States-Argentina BIT,Finance (reinsurance),FIN,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2010,ARG,GBR,n.a.,n.a.,n.a.,n.a.,Anglian Water Group (AWG) PLC v. Argentina,UNCITRAL,n.a.,Argentina-United Kingdom BIT,Water services concession,UTL,Damages not quantified but estimated in excess of US$100m,100,yes,investor,unknown,unknown,n.a.,n.a.,n.a.,n.a.
2003,2007,ARG,GBR,n.a.,n.a.,n.a.,n.a.,British Gas (BG) Group Plc v Argentine Republic,UNCITRAL,n.a.,Argentina-United Kingdom BIT,Oil and gas,OIL,US$238.1m,238.1,yes,investor,"US$185285485.85, plus interest and arbitration costs",185.3,n.a.,n.a.,n.a.,n.a.
2003,2008,ARG,GBR,n.a.,n.a.,n.a.,n.a.,National Grid Plc v. Argentina,UNCITRAL,n.a.,Argentina-United Kingdom BIT,Electric power concession,UTL,US$60m plus opportunity cost (US$22.3 million) and loss for time value of money (US$31 million) ,113.3,yes,investor,"US$38.8m, plus interest",38.8,n.a.,n.a.,n.a.,n.a.
2003,2008,ARG,CHL,n.a.,n.a.,n.a.,n.a.,Metalpar S.A. and Buen Aire S.A. v. Argentine Republic ,ICSID,ARB/03/5,Argentina-Chile BIT,Manufacturing (busses and motor vehicles),MFG,"Approximately US$18m, plus interest",18,yes,state,0,0,no,n.a.,n.a.,n.a.
2004,2008,ARG,DEU,n.a.,n.a.,n.a.,n.a.,Wintershall Aktiengesellschaft v. Argentine Republic,ICSID,ARB/04/14,Argentina-Germany BIT,Oil and gas,OIL,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
2005,2008,ARG,NLD,n.a.,n.a.,n.a.,n.a.,TSA Spectrum de Argentina SA v. Argentine Republic ,ICSID,ARB/05/5,Argentina-Netherlands BIT,Telecommunications,TEL,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
1998,2001,ARG,USA,n.a.,n.a.,n.a.,n.a.,"Houston Industries Energy Inc., et al v. Argentine Republic ",ICSID,ARB/98/1,United States-Argentina BIT,Electric power concession,UTL,US$1.1m for tariff compensation and US$1.5m for increased fuel costs,2.6,yes,unknown,unknown,unknown,no,n.a.,n.a.,n.a.
2005,2007,ARG,DEU,n.a.,n.a.,n.a.,n.a.,Daimler Financial Services AG v. Argentine Republic ,ICSID,ARB/05/1,Argentina-Germany BIT,Finance (financial services),FIN,unknown,unknown,yes,state,0,0,yes,2012,2014,discontinued
2004,2013,ARG,FRA,n.a.,n.a.,n.a.,n.a.,Total S.A. v. Argentine Republic ,ICSID,ARB/04/1,France-Argentina BIT,Electric power concession (gas),UTL,Approximately US$1b,1000,yes,investor,unknown,unknown,yes,2014,pending,pending
1997,2007,ARG,FRA,n.a.,n.a.,n.a.,n.a.,Compa–’a de Aguas del Aconquija S.A. and Vivendi Universal v. Argentine Republic ,ICSID,ARB/97/3,"Argentina-France BIT, Contract",Water and sewage concession,UTL,US$316m plus interest,316,yes,investor,"US$105m, no legal fees specified",105,yes,2001,2010,upheld
2001,2007,ARG,USA,n.a.,n.a.,n.a.,n.a.,Enron Corporation & Ponderosa Assets LP v. Argentina,ICSID,ARB/01/3,Argentina-United States BIT,Oil and gas,OIL,Up to US$582m,582,yes,investor,"US$106.2m, plus 2% interest",106.2,yes,2008,pending,pending
2002,2007,ARG,USA,n.a.,n.a.,n.a.,n.a.,Sempra Energy International v. Argentine Republic ,ICSID,ARB/02/16,Argentina-United States BIT,Oil and gas,OIL,Approximately US$210m,210,yes,investor,"US$128.25m, plus interest (each party to pay their own legal costs and split arbitration costs)",128.3,yes,2008,pending,pending
2001,2006,ARG,USA,n.a.,n.a.,n.a.,n.a.,CMS Gas Transmission Company v. Argentina ,ICSID,ARB/01/8,Argentina-United States BIT,Oil and gas (distribution),OIL,US$261.1m (or US$243.6m and shares) plus interest,261.1,yes,investor,"US$135.3m, plus interest (each party to pay their legal fees and split arbitration costs)",135.3,yes,2005,2007,partially overturned
2003,2012,ARG,FRA,BELLUX,n.a.,n.a.,n.a.,"EDF International SA, SAUR International SA & L_on Participaciones Argentinas SA v. Argentine Republic ",ICSID,ARB/03/23,"Argentina-France BIT, Argentina-Belgium & Luxembourg BIT ",Electric power concession,UTL,Approximately US$200m,200,yes,investor,"US$136.14m, plus interest (each party to pay their legal fees and split arbitration costs)",136.1,yes,2012,pending,pending
2001,2006,ARG,USA,n.a.,n.a.,n.a.,n.a.,Azurix v. Argentina (1st case),ICSID,ARB/01/12,Argentina-United States BIT,Water and sewage concession,UTL,US$685m plus interest,685,yes,investor,"US$165.2m, plus interest (each party to pay their legal costs, Respondent pay arbitration costs except for Claimant's share of US$34496)",165.2,yes,2006,2009,upheld
2003,2008,ARG,USA,n.a.,n.a.,n.a.,n.a.,Continental Casualty Company v. Argentine Republic ,ICSID,ARB/03/9,Argentina-United States BIT,Finance (insurance),FIN,"Approximately US$114m, plus interest ",114,yes,investor,"US$2.8m, plus interest (each party to pay their own legal fees and split cost of arbitration)",2.8,yes,2009,2011,upheld
2007,2011,ARG,ITA,n.a.,n.a.,n.a.,n.a.,Impregilo SpA v. Argentine Republic ,ICSID,ARB/07/17,Argentina-Italy BIT ,Water services concession,UTL,US$100m,100,yes,investor,"US$21.3m,  plus interest (each party to pay their legal fees and split the cost of arbitraiton)",21.3,yes,2011,2014,upheld
2002,2007,ARG,DEU,n.a.,n.a.,n.a.,n.a.,Siemens AG v. Argentine Republic ,ICSID,ARB/02/8,Argentina-Germany BIT,Software,SER,US$462477071,462.5,yes,investor,"US$237.8m, plus interest (each party to pay their legal costs, respondent to pay 75% of arbitration)",237.8,yes,2007,2009,discontinued
2004,2014,ARG,FRA,n.a.,n.a.,n.a.,n.a.,SAUR International SA v. Argentine Republic ,ICSID,ARB/04/4,Argentina-France BIT,Water and sewage concession,UTL,unknown,unknown,yes,investor,"US$39.99m, plus interest (US$685k plus Û1.49m for legal costs)",40,yes,2014,pending,pending
2003,2011,ARG,USA,n.a.,n.a.,n.a.,n.a.,El Paso Energy International Company v. Argentine Republic,ICSID,ARB/03/15,Argentina-United States BIT,Electric power and hydrocarbon concessions,OIL,"Between US$127m and US$228m, excluding interest and taxes",127,yes,investor,"US$43.03m, plus interest (each party to pay their legal costs and split the arbitration cost)",43,yes,2012,2014,upheld
2002,2007,ARG,USA,n.a.,n.a.,n.a.,n.a.,LG&E Energy Corp.; LG&E Capital Corp.; and LG&E International Inc. v. Argentine Republic ,ICSID,ARB/02/1,Argentina-United States BIT,Oil and gas (distribution),OIL,"Approximately US$248m, plus interest",248,yes,investor,"US$57.4m, plus interest (each party to pay their legal fees and split the cost of arbitration)",57.4,yes,2008,pending,pending
2007,2011,ARM,USA,n.a.,n.a.,n.a.,n.a.,TS Investment Corp. v. Republic of Armenia,LCIA,n.a.,Armenia-United States BIT,Manufacturing (tires),MFG,unknown,unknown,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2007,2008,ARM,USA,n.a.,n.a.,n.a.,n.a.,Global Gold Mining LLC v. Republic of Armenia ,ICSID,ARB/07/7,Armenia-United States BIT,Mining,MIN,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2011,pending,AUS,HKG,n.a.,n.a.,n.a.,n.a.,Philip Morris Asia Limited v. The Commonwealth of Australia,PCA,2012-12,Australia-Hong Kong BIT,"Manufacturing (cigarettes, tobacco)",MFG,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2007,2009,AZE,NLD,n.a.,n.a.,n.a.,n.a.,Fondel Metal v Azerbaijan ,ICSID,ARB/07/1,Contract with host state,Aluminum (bauxite),MIN,Approximately US$390m,390,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2006,2009,AZE,TUR,n.a.,n.a.,n.a.,n.a.,Barmek v. Azerbaijan ,ICSID,ARB/06/16,"Turkey-Azerbaijan BIT, Contract",Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2006,2009,AZE,NLD,n.a.,n.a.,n.a.,n.a.,"Azpetrol International Holdings BV, Azpetrol Group BV & Azpetrol Oil Services Group BV v. Republic of Azerbaijan",ICSID,ARB/06/15,Energy Charter Treaty,Oil and gas,OIL,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
2014,pending,BDI,BELLUX,n.a.,n.a.,n.a.,n.a.,Tariq Bashir and SA Interp_trol Burundi v. Republic of Burundi,ICSID,ARB/14/31,Belgium & Luxembourg-Burundi BIT,Oil and gas,OIL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
